date,LON,LAT,SOG,COG,Heading
2021-03-11T11:13:50,-125.07196,48.62985,8.2,293.2,287.0
2021-03-11T11:17:04,-125.08251,48.63282,8.5,294.2,289.0
2021-03-11T11:18:07,-125.08599,48.63378,8.7,293.0,288.0
2021-03-11T11:20:10,-125.09264,48.63591,8.5,295.9,289.0
2021-03-11T11:27:23,-125.11592,48.6435,8.6,297.9,293.0
2021-03-11T12:11:26,-125.2518,48.7056,9.4,307.0,304.0
2021-03-11T12:25:57,-125.29365,48.73181,9.6,314.4,311.0
2021-03-11T12:44:32,-125.34781,48.76409,9.8,311.9,306.0
2021-03-11T13:15:39,-125.44639,48.82535,10.1,315.2,316.0
2021-03-11T13:19:46,-125.45888,48.8334,9.9,312.9,312.0
2021-03-11T13:42:33,-125.51096,48.88103,6.9,18.5,21.0
2021-03-11T13:44:36,-125.50829,48.8839,6.5,33.9,29.0
2021-03-11T13:45:38,-125.50677,48.88549,6.6,31.5,28.0
2021-03-11T13:50:50,-125.49924,48.8933,6.2,34.5,33.0
2021-03-11T13:51:52,-125.49761,48.89479,6.6,36.9,37.0
2021-03-11T13:59:40,-125.49068,48.90668,6.0,353.0,346.0
2021-03-11T14:00:00,-125.49086,48.90722,6.0,346.2,335.0
2021-03-11T14:03:12,-125.49675,48.91086,6.2,306.9,305.0
2021-03-11T14:04:14,-125.49907,48.91187,6.3,301.3,299.0
2021-03-11T14:13:00,-125.51673,48.92215,6.2,325.4,325.0
2021-03-11T14:20:14,-125.52501,48.93038,4.8,326.9,323.0
2021-03-11T14:28:36,-125.53471,48.9379,4.1,315.9,312.0
2021-03-11T14:31:40,-125.5382,48.93989,3.2,308.3,302.0
2021-03-11T14:40:57,-125.54288,48.94628,3.2,309.5,304.0
